"Date","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted","SPY.Open.1","SPY.High.1","SPY.Low.1","SPY.Close.1","SPY.Volume.1","SPY.Adjusted.1","SPY.Open.2","SPY.High.2","SPY.Low.2","SPY.Close.2","SPY.Volume.2","SPY.Adjusted.2","SPY.Open.3","SPY.High.3","SPY.Low.3","SPY.Close.3","SPY.Volume.3","SPY.Adjusted.3"
"2011-12-30",2011-12-30,126.17,126.82,124.73,125.5,424289000,120.35,13.68,9.56999999999999,17.3,9.79000000000001,-1254592000,10.09,6.63,0.319999999999993,5.91000000000001,0.640000000000001,-708142500,1.36999999999999,4.11,0.389999999999986,4.7,-0.890000000000001,-390915600,-0.850000000000009
"2012-01-06",2012-01-06,127.76,128.38,126.43,127.71,642829400,122.47,10.08,5.78,8.76000000000001,5.14,-502027000,5.67,0.920000000000002,1.11999999999999,2.78,1.66,-449053300,2.36,1.59,1.56,1.7,2.20999999999999,218540400,2.12
"2012-01-13",2012-01-13,128,129.7,127.41,128.84,625172800,123.55,6.01000000000001,5.57999999999998,8.20999999999999,4.87,-663673000,5.42,3.05,4.13,6.11,7.25,-494022500,6.95,0.239999999999995,1.31999999999999,0.97999999999999,1.13000000000001,-17656600,1.08
"2012-01-20",2012-01-20,130.08,131.95,128.9,131.95,560163500,126.53,5.91000000000001,2.53,6.69000000000001,3.34999999999999,-819829400,3.98999999999999,8.02000000000001,5.51999999999998,8.87,5.55999999999999,-255041100,5.33,2.08000000000001,2.25,1.49000000000001,3.10999999999999,-65009300,2.98
"2012-01-27",2012-01-27,131.51,133.4,130.6,131.82,751131900,126.41,4.34999999999999,4.78,9.08,6.33999999999999,-679686400,6.84,5.33999999999999,6.58000000000001,5.86999999999999,6.31999999999999,326842900,6.06,1.42999999999998,1.45000000000002,1.69999999999999,-0.129999999999995,190968400,-0.120000000000005
"2012-02-03",2012-02-03,130.51,134.62,130.06,134.54,744447200,129.02,5.11999999999999,6.59999999999999,7.2,7.88,-436369200,8.33000000000001,2.74999999999999,6.24000000000001,3.63,6.83,101617800,6.55000000000001,-1,1.22,-0.539999999999992,2.72,-6684700,2.61000000000001
"2012-02-10",2012-02-10,133.98,135.59,133.64,134.36,699094400,128.84,7.78999999999999,8.14,12.41,12.38,-427455800,12.61,5.97999999999999,5.89000000000001,6.22999999999999,5.52000000000001,73921600,5.29000000000001,3.47,0.969999999999999,3.57999999999998,-0.179999999999978,-45352800,-0.180000000000007
"2012-02-17",2012-02-17,135.32,136.63,134.25,136.41,792803700,130.81,15.12,16.28,18.05,20.07,22811100,19.95,5.23999999999998,4.68000000000001,5.34999999999999,4.46000000000001,232640200,4.28,1.34,1.03999999999999,0.610000000000014,2.04999999999998,93709300,1.97
"2012-02-24",2012-02-24,136.73,137.2,135.5,136.93,501741000,131.31,17.19,10.7,16.68,12.07,-630690500,12.33,5.22,3.79999999999998,4.90000000000001,5.11000000000001,-249390900,4.90000000000001,1.41,0.569999999999993,1.25,0.52000000000001,-291062700,0.5
"2012-03-02",2012-03-02,136.02,138.19,135.8,137.31,726681300,131.67,9.18000000000001,10.93,12.15,11.26,-365201400,11.56,5.51000000000002,3.56999999999999,5.74000000000001,2.77000000000001,-17765900,2.64999999999998,-0.70999999999998,0.990000000000009,0.300000000000011,0.379999999999995,224940300,0.359999999999985
"2012-03-09",2012-03-09,137.1,137.93,134.36,137.57,726392800,131.92,12.15,12.36,13.06,15.98,-392802500,15.32,3.12,2.34,0.720000000000027,3.20999999999998,27298400,3.07999999999998,1.07999999999998,-0.259999999999991,-1.44,0.259999999999991,-288500,0.25
"2012-03-16",2012-03-16,137.55,140.78,137.09,140.3,751269600,135.13,15.49,14.35,17.06,13.91,-63935000,13.93,2.23000000000002,4.15000000000001,2.84,3.89000000000001,-41534100,4.31999999999999,0.450000000000017,2.84999999999999,2.72999999999999,2.73000000000002,24876800,3.21000000000001
"2012-03-23",2012-03-23,140.21,141.28,138.55,139.65,625146900,134.5,14.04,14.46,13.82,14.15,200857900,14.15,3.48000000000002,4.08000000000001,3.05000000000001,2.72,123405900,3.19,2.66,0.5,1.46000000000001,-0.650000000000006,-126122700,-0.629999999999995
"2012-03-30",2012-03-30,140.65,141.83,139.09,140.81,689045100,135.62,12.89,13.45,12.66,13.1,46215700,13.15,4.63,3.64000000000001,3.28999999999999,3.5,-37636200,3.95000000000002,0.439999999999998,0.550000000000011,0.539999999999992,1.16,63898200,1.12
"2012-04-05",2012-04-05,140.64,142.21,139.26,139.79,591883200,134.64,12.64,12.51,11.85,10.95,-33289600,11.09,3.53999999999999,4.28,4.89999999999998,2.22,-134509600,2.72,-0.0100000000000193,0.379999999999995,0.169999999999987,-1.02000000000001,-97161900,-0.980000000000018
"2012-04-13",2012-04-13,138.03,139.84,135.76,137.14,840617400,132.09,7.94999999999999,7.89000000000001,6.85999999999999,5.19,280453900,5.56,0.47999999999999,-0.939999999999998,-1.33000000000001,-3.16000000000003,89347800,-3.03999999999999,-2.60999999999999,-2.37,-3.5,-2.65000000000001,248734200,-2.54999999999998
"2012-04-20",2012-04-20,137.84,139.36,136.58,137.95,761453400,132.87,6.33000000000001,5.96000000000001,5.98000000000002,6.13,10321500,6.46000000000001,-2.37,-1.91999999999999,-1.97,-1.70000000000002,136306500,-1.63,-0.189999999999998,-0.47999999999999,0.820000000000022,0.810000000000002,-79164000,0.780000000000001
"2012-04-27",2012-04-27,136.54,140.79,135.94,140.39,726597900,135.22,6.03,6.16999999999999,5.88,5.84999999999999,-17849300,6.19999999999999,-4.11000000000001,-1.04000000000002,-3.15000000000001,-0.420000000000016,37552800,-0.400000000000006,-1.30000000000001,1.42999999999998,-0.640000000000015,2.44,-34855500,2.34999999999999
"2012-05-04",2012-05-04,140.11,141.66,136.92,137,712692400,131.95,6.13000000000002,6.06999999999999,3.28,2.63999999999999,13598000,3.10999999999999,-0.529999999999973,-0.550000000000011,-2.34,-2.78999999999999,120809200,-2.69,3.57000000000002,0.870000000000005,0.97999999999999,-3.38999999999999,-13905500,-3.27000000000001
"2012-05-11",2012-05-11,136.51,137.56,134.49,135.61,865528500,130.61,1.19,0.930000000000007,0.240000000000009,-0.799999999999983,72724800,-0.199999999999989,-1.52000000000001,-2.28,-1.26999999999998,-1.52999999999997,24911100,-1.47999999999999,-3.60000000000002,-4.09999999999999,-2.42999999999998,-1.38999999999999,152836100,-1.33999999999997
"2012-05-18",2012-05-18,134.31,135.61,129.55,129.74,1146413600,124.96,-2.41999999999999,-1.58999999999997,-5.94999999999999,-7.19,644672600,-6.35000000000001,-3.53,-3.75,-7.03,-8.20999999999998,384960200,-7.91000000000001,-2.19999999999999,-1.94999999999999,-4.94,-5.87,280885100,-5.65000000000002
